source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_STORE_MAP,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_SYSCATALOG,,0,0,2022-01-02 14:08:59,NNC_DATA01,其他,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_SYS_PARAMS,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_TASKEXECLIST,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_TASKRECELIST,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_TASKTIMECONF,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_TASKTRANSCNT,,194,7,2022-01-02 14:08:07,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_TRANSRES,,0,0,2022-01-02 14:09:00,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_TRANSTASKEXEC,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_T_ACTIVITY,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_T_PACK,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_T_SESSION,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_WORK,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_WORK_DISP,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_WORK_FINI,,0,0,2022-01-02 10:05:40,NNC_DATA01,财务,fact_or_business,included,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ADP_WORK_WAIT,,0,0,2022-01-02 10:05:40,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_META_DRIVER,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_CUBE,,1,5,2023-06-11 18:03:29,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_DIM,,4,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_FLT,,0,0,2022-01-02 10:05:41,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_HCY,,4,5,2023-06-11 18:03:29,NNC_DATA01,供应商/物资,fact_or_business,included,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_LVL,,7,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_LVLP,,2,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_MEA,,6,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
