review_priority,suggested_action_code,source_bucket,owner,table_name,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,dependency_count,review_reason,cleanup_reason,manual_decision,manual_note
P0,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,HI_PSNDOC_TITLE,0,人员,27,true,1,?????????1?,NUM_ROWS=0,,
P0,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,HI_PSNTRANSTER,0,人员,34,true,1,?????????1?,NUM_ROWS=0,,
P0,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,HSTF_INSTOCKDATA,0,供应商/物资,55,true,1,?????????1?,NUM_ROWS=0,,
P0,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,HSTF_INSTOCKDATAB,0,供应商/物资,50,true,1,?????????1?,NUM_ROWS=0,,
P0,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,HSTF_OUTSTOCKDATA,0,供应商/物资,56,true,1,?????????1?,NUM_ROWS=0,,
P0,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,HSTF_OUTSTOCKDATA_B,0,供应商/物资,51,true,1,?????????1?,NUM_ROWS=0,,
P0,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,PAM_WARCONTRACT_R,0,其他,36,true,1,?????????1?,NUM_ROWS=0,,
P0,REVIEW_INCLUDE,review,HRPSEY656,FA_CARD,115442,其他,77,true,61,?????????61????????????,,,
P0,REVIEW_INCLUDE,review,HRPSEY656,FA_CARDHISTORY,1454132,其他,80,true,60,?????????60????????????,,,
P0,REVIEW_INCLUDE,review,HRPSEY656,FA_CARDSUB,115832,其他,83,true,59,?????????59????????????,,,
P0,REVIEW_INCLUDE,review,HRPSEY656,FA_CATEGORY,5893,其他,39,true,44,?????????44???????,,,
P0,REVIEW_INCLUDE,review,HRPSEY656,PAM_EQUIP,55337,其他,223,true,3,?????????3???????????????223??,,,
P1,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,IC_ONHANDSN_20260531,1396312,其他,19,false,0,????10?,表名含日期快照,,
P1,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,SM_BUSILOG_DEFAULT_20250925,1263172,字典/编码,15,false,0,????10?,表名含日期快照; 日志/审计/跟踪类,,
P1,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,SM_LOG_OPERATELOG,1078200,其他,26,true,0,????10?,日志/审计/跟踪类,,
P1,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,PUB_WORKINGTASKLOG_BAK,471830,其他,14,false,0,????10?,表名疑似备份/临时/测试; 日志/审计/跟踪类,,
P1,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,SM_BUSILOG_DEFAULT,339007,字典/编码,15,true,0,????10?,日志/审计/跟踪类,,
P1,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,IC_ONHANDDIM_20260531,233053,其他,34,false,0,????10?,表名含日期快照,,
P1,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,FA_LOG,115012,其他,17,true,0,????10?,日志/审计/跟踪类,,
P1,AUDIT_EXCLUDED,exclusion_audit,HRPSEY656,GL_DETAIL_20220809,101548,财务,87,false,0,????10?,表名含日期快照,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_PURCHASEIN_B,255134,其他,200,true,2,?????????2???????????????200??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_PURCHASEIN_H,68786,其他,80,true,2,?????????2????????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,BD_PROJECT,1523,其他,179,true,2,?????????2??????????179??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_ONHANDSN,1428995,其他,19,true,1,?????????1????????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_GENERALIN_B,324497,其他,118,true,1,?????????1????????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FA_CAPITALSOURCE,115955,其他,12,true,1,?????????1????????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_GENERALIN_H,105990,其他,57,true,1,?????????1????????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FIP_DOCVIEW_B,14404,其他,16,true,1,?????????1????????????,,,
