source_system,source_db,owner,table_name,num_rows_stats,inferred_domain,cleanup_decision,column_count_in_current_file,pii_like_columns,semantic_summary,recommendation,reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0BI4D_0935,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0BNV1_1526,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0D4PN_1143,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0GZ5K_1652,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0HXF8_1632,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0IV30_1726,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0JM3A_1108,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0KW99_1559,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0NXIK_1022,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0OHOK_1413,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0R62N_0935,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0RG6N_1534,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0S7XM_1539,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0S8HR_1559,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0S8RA_1631,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0SLCF_1214,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
