source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason,column_count_in_current_file,has_primary_key,has_nonunique_index,cleanup_decision,cleanup_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OACM_CONTRACTTYPE,,0,0,2022-01-02 14:06:29,NNC_DATA01,字典/编码,dimension,included,,25,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OACO_ASSOCIATETYPE,,24,5,2022-01-02 14:06:52,NNC_DATA01,字典/编码,dimension,included,,12,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OACO_FORMTYPE,,6,5,2022-01-02 14:06:52,NNC_DATA01,字典/编码,dimension,included,,14,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OACO_OASHARETYPE,,2,5,2022-01-02 14:06:53,NNC_DATA01,字典/编码,dimension,included,,11,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OACO_ORGSYN,,0,0,2022-01-02 14:06:27,NNC_DATA01,科室/组织,dimension,included,,14,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OACO_PRIVATEORG,,0,0,2022-01-02 14:06:27,NNC_DATA01,科室/组织,dimension,included,,10,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OACO_SCHEDULERTYPE,,4,5,2023-05-15 22:04:53,NNC_DATA01,字典/编码,dimension,included,,26,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAFF_ENUMMD,,0,0,2022-01-02 14:06:30,NNC_DATA01,字典/编码,dimension,included,,9,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAFF_TRADETEMPLATE,,33,9,2023-03-17 22:07:01,NNC_DATA01,人员,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单,19,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAFF_TRADETEMPTYPE,,4,5,2022-01-02 14:06:54,NNC_DATA01,人员,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单,10,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAKM_PSNDISKSET,,1,5,2023-01-11 22:02:15,NNC_DATA01,人员,dimension,included,,10,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAMAIL_ACCOUNT,,0,0,2022-01-02 14:06:29,NNC_DATA01,用户账号,dimension,included,,25,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAMAIL_ACCOUNTMAIL,,0,0,2022-01-02 14:06:29,NNC_DATA01,用户账号,dimension,included,,8,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAMAIL_MAIL_USER,,0,0,2022-01-02 14:06:30,NNC_DATA01,用户账号,dimension,included,,10,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAMAIL_USER,,0,0,2022-01-02 14:06:30,NNC_DATA01,用户账号,dimension,included,,17,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAMAIL_USERANDGROUP,,0,0,2022-01-02 14:06:30,NNC_DATA01,用户账号,dimension,included,,8,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAMAIL_USERGROUP,,0,0,2022-01-02 14:06:30,NNC_DATA01,用户账号,dimension,included,,13,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAOD_ODORGRELATION,,0,0,2022-01-02 14:06:28,NNC_DATA01,科室/组织,dimension,included,,10,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAOD_OFFICIALDOCTYPE,,0,0,2022-01-02 14:06:28,NNC_DATA01,字典/编码,dimension,included,,26,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAOD_ORGANIZATION,,0,0,2022-01-02 14:06:28,NNC_DATA01,科室/组织,dimension,included,,23,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAOD_ORGGROUP,,0,0,2022-01-02 14:06:28,NNC_DATA01,科室/组织,dimension,included,,9,true,false,core_candidate,NUM_ROWS=0
