source_system,source_db,owner,view_name,text_length,referenced_count,referenced_objects,view_role
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_EDCFQ_1108,1310,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_F7511_2015,1550,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_GZUQ1_1150,2182,4,HI_PSNJOB;ORG_DEPT;WA_DATA;WA_WACLASS,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_H1PMC_1447,4648,5,BD_MATERIAL;BD_STORDOC;IC_ONHANDDIM;IC_ONHANDNUM;SCM_BATCHCODE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_H7GMB_1035,1494,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_HO2JN_1716,1163,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_HZ01F_1621,1254,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_IB3P2_1110,1473,9,BD_DEFDOC;BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_IEVCC_1537,6188,13,BD_ACCPERIODMONTH;BD_FUNDSOURCE;COST_ACCOUNT;COST_CODEPART;COST_COSTCLASS_H;COST_COSTPRO_H;COST_INCODECLASS_H;COST_INCODEPRO_H;COST_INCOMEBILL_B;COST_INCOMEBILL_H;COST_PARABILL_B;COST_PARABILL_H;COST_SPPARA,exclude_temp_query_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_IMMYE_1439,4658,5,BD_MATERIAL;BD_STORDOC;IC_ONHANDDIM;IC_ONHANDNUM;SCM_BATCHCODE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_JHR3L_1621,1235,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_KJ0CM_0945,1222,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_KTOAI_2022,1550,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_LQ73Y_1734,1178,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_LS6GS_1011,1396,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_MXFTV_1833,1311,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_MYWXD_1454,4656,5,BD_MATERIAL;BD_STORDOC;IC_ONHANDDIM;IC_ONHANDNUM;SCM_BATCHCODE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_N4NDH_1110,1311,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_N9MA8_1726,1219,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_NBF2S_1105,1304,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_NHIGY_1107,1302,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_NTMT5_1831,1248,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_NXJZJ_2010,1405,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_OZE4R_2030,1513,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_QIJLL_2007,1405,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_RHZMI_1028,1494,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_RJBSD_1735,1343,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_RRB81_1706,1227,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_RROA3_2014,1550,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_RZKN9_1837,1401,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_S3ONH_1149,2167,4,HI_PSNJOB;ORG_DEPT;WA_DATA;WA_WACLASS,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_SION8_1007,1393,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_TBR5O_1833,1276,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_TCM3I_1453,4692,5,BD_MATERIAL;BD_STORDOC;IC_ONHANDDIM;IC_ONHANDNUM;SCM_BATCHCODE,relationship_seed
