review_priority,suggested_action_code,owner,table_name,table_comment,num_rows_stats,inferred_domain_refined,column_count_in_current_file,has_primary_key,dependency_count,low_row_decision,low_row_reason
P0,KEEP_CORE,HRPSEY656,FA_CAPITALSOURCE,,115955,固定资产/设备,12,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,FA_DEPTSCALE,,36505,固定资产/设备,10,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,PAM_CATEGORY,,5926,固定资产/设备,47,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,PAM_ADDREDUCESTYLE,,23,固定资产/设备,21,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,PAM_STATUS,,6,固定资产/设备,40,true,1,keep,强制保留白名单
P0,KEEP_CORE,HRPSEY656,BD_DEFDOC,,22087,字典/编码,50,true,26,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_MARBASCLASS,,38,字典/编码,41,true,19,not_applied,
P0,KEEP_CORE,HRPSEY656,MD_ENUMVALUE,,10133,字典/编码,11,true,3,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_STORDOC,,135,其他,45,true,20,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_MEASDOC,,113,其他,22,true,17,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_PROJECT,,1523,其他,179,true,2,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_ADDRESS,,8487,其他,15,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_COUNTRYZONE,,238,其他,34,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_FUNDSOURCE,,13,其他,39,true,1,not_applied,
P0,KEEP_CORE,HRPSEY656,BD_ACCPERIODMONTH,,120,其他,14,true,0,not_applied,
P0_empty,KEEP_CORE_EMPTY,HRPSEY656,HI_PSNDOC_CTRT,,0,人员,47,true,1,keep,强制保留白名单
P0_empty,KEEP_CORE_EMPTY,HRPSEY656,HI_PSNDOC_LANGABILITY,,0,人员,19,true,1,keep,强制保留白名单
P0_empty,KEEP_CORE_EMPTY,HRPSEY656,HI_PSNDOC_TITLE,,0,人员,27,true,1,keep,强制保留白名单
P0_empty,KEEP_CORE_EMPTY,HRPSEY656,HI_PSNTRANSTER,,0,人员,34,true,1,keep,强制保留白名单
P1,REVIEW_INCLUDE,HRPSEY656,PUB_BILLTEMPLET_B,,343194,人员,50,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,FIP_TEMPLATECELL,,21124,人员,9,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_BILLTEMPLET_T,,13233,人员,18,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_SYSTEMPLATE_BASE,,12960,人员,12,true,0,not_applied,
