system_category,source_system,source_system_cn,source_database,schema_name,table_name,table_name_cn,business_domain,table_role,row_count,column_count,include_status,pk,confidence,exclude_reason,ods_same_name_covered,note,source
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OPS_CLINIC_DEPT_VS,,,,0,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,手术标本检查与诊断单切,,,,0,69,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,INSUR_VSH_CENTER_ITEM_NEW,,,,0,43,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,肩外展功能重建术,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,YYXMBM,,,,0,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,INSUR_VSH_CENTER_ITEM_NEW0401,,,,0,43,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,胸腔闭式引流,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取临床操作的彩色多普勒,,,,0,67,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,术中体温监测,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DW_PROJECT_INFO,对照目录-省二,,,0,53,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,YYXMBM0401,,,,0,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,冠状动脉成像时同时收取增强扫描,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,不得重复收取气管切开护理,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,不得重复收取一般专项护理,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取心肺复苏术费用同时收气管,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DW_PROJECT_DOWNLOAD_LOG0401,,,,944,9,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,重复收取局部浸润麻醉,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,乳腺肿物切除术,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,血清总蛋白测定超1次收费,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,血清天门冬氨酸氨基转移酶测定,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,C反应蛋白,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,BNP,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,不得收取麻醉中监测费用,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,肿瘤标志物,,,,0,66,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,日常生活能力评定,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,孕酮测定限女性,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,游离前列腺特异性抗原测定,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,BED_REC_LOG,床位状态变更记录,,,0,9,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,TMEP1,,,,0,10,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,水合氯醛糖浆组合包装违规记录表,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,七叶皂苷注射液,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,整蛋白型肠内营养剂,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,复方氨基酸注射液,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,单方,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,中长链脂肪乳注射液,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,妇科特殊治疗限女性,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,盐酸坦索罗辛缓释胶囊女用男药,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,黄体酮注射液限女性,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,阴囊坏死扩创术限男性,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,大关节松动训练单日计费大于1,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,乳腺肿物穿刺术计价为次,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,言语训练单日计费大于1,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,运动疗法每日支付不超过2次,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,作业疗法每日支付不超过1次,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,日常生活能力评定一个疾病过程,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,咽鼓管压力测定,,,,0,67,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,稳态诱听,,,,0,67,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,经同一切口进行的两种不同疾病,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,同一手术两个切口,,,,0,65,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,PUB_DICTIONARY,数据字典,,,6318,31,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,MR_AREA_DICT,病人来源字典,,,2990,6,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,WAED_ADT_DAY,护理伤病员流动日统计记录,,,98291,25,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DEPT_ADT_DAY,科室伤病员流动日统计记录,,,433053,24,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,INP_BILL_DETAIL,住院病人费用明细记录,住院费用,,215721688,74,core,PATIENT_ID|VISIT_ID,A,,,"巨表(约2亿行),查询必限定",curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DEPT_VS_WARD,临床科室与病房（区）对照,,,184,2,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,WARD_TRANSFER,病人在科记录,,,253805,16,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,MR_COMM_VS_HIS_COMM,2011版病案首页国家基础数据与HIS对照字典,,,82,5,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ORDERS,医嘱,医嘱,,41033865,88,core,PATIENT_ID|VISIT_ID|ORDER_NO,B,,,状态1新开2执行3停止有效/4作废无效,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OUTP_MR_DIAG_DESC,门诊病历诊断记录,,,3135738,13,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,NATION_DICT,民族字典,,,58,9,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,EXAM_MASTER,检查主记录 ,检查,,3385322,58,core,EXAM_NO,A,,,"EXAM_CLASS 存中文(CT/磁共振),非字典内码",curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OPS_TREAT_NARCOTISM,门诊手术处置麻醉信息,,,577,12,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,NEWBORN_REC,,,,8603,75,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,PAT_MASTER_INDEX,病人主索引,患者主数据,,1939319,113,core,PATIENT_ID,A,,,患者主索引;含 INP_NO 住院号用于关联 EMR 文书,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OPERATION,手术记录,手术,,527895,31,core,PATIENT_ID|VISIT_ID|OPERATION_NO,B,,,"OPER_ID 全为 NULL,不要用它关联手麻",curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CONSULTATION_DOCTOR_DETAIL,会诊子表,,,456577,16,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CONSULTATION_DOCTOR_MASTER,会诊主表,,,456265,18,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OUTP_MR,门诊病历记录,门诊,,5684755,43,core,,B,,,与门诊就诊关联,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OUTP_ORDERS,门诊医嘱主记录,,,11768337,17,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DIAGNOSIS_DICT,疾病字典,,,50220,34,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CLINIC_VS_CHARGE,临床诊疗项目与价表项目对照表,,,23771,12,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,STAFF_GROUP_DICT,工作组字典,,,555,7,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,EXAM_REPORT,检查报告,检查,,1314456,14,core,EXAM_NO,A,,,"无 PATIENT_ID,必经 EXAM_NO 关联 EXAM_MASTER",curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CDA_DICTIONARY,,,,39730,6,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,PAT_MASTER_RENAME_LOG,修改姓名记录表,,,12253,9,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OUTP_ORDER_DESC,开单记录,,,13056770,13,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OUTP_TREAT_REC,检查治疗医嘱明细记录,,,10906462,37,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DRUG_DISPENSE_REC_MASTER,医嘱打印记录表,,,2725733,9,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DRUG_PRESC_DETAIL,药品处方明细记录,,,15510667,35,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DEPT_VS_WARD_NEW,临床科室与病房（区）对照,,,228,3,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,RECK_ITEM_CLASS_DICT,核算项目分类字典,,,33,9,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DIAGNOSIS_EMR,,,,181305,12,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,SETTLE_ZY_REC,,,,305341,33,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CLINIC_RETURNED_ACCT,挂号结帐主记录,,,86561,24,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OUTP_BILL_ITEMS,门诊病人诊疗费用项目,门诊费用,,28614987,64,core,RCPT_NO|ITEM_NO,B,,,,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,STAT_WARD_MODIFYFIX,,,,39,12,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,PATIENT_STATUS_DICT,病情状态字典,,,3,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,LAB_TEST_MASTER,检验主记录,检验,,9134900,49,core,TEST_NO,A,,,检验主表;住院 VISIT_ID 或 0/NULL=门诊,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DRUG_DISPENSE_REC,摆药记录,,,47120278,30,candidate,,,,,,metadata
