left_table,left_column,right_table,right_column,view_count,edge_count,in_formal_relationships,conditions,views
SM.MED_ANESTHESIA_PLAN,OPER_ID,SM.MED_OPERATION_MASTER,OPER_ID,10,10,Y,A.OPER_ID = B.OPER_ID|A.OPER_ID = E3.OPER_ID|MAP.OPER_ID = MOM.OPER_ID|MOM.OPER_ID = MAP.OPER_ID,CDR_OPERATION_VISIT|CDR_SURGICAL_RECORD|V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_OPERATION_NURSING|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD|V_ESBHL_ANE_ROD
HIS.DEPT_DICT,DEPT_CODE,HIS.PAT_VISIT,DEPT_ADMISSION_TO,9,9,Y,A.DEPT_ADMISSION_TO = T.DEPT_CODE|ADM_DEPT.DEPT_CODE = A.DEPT_ADMISSION_TO|D.DEPT_CODE = PV.DEPT_ADMISSION_TO|E.DEPT_CODE = A.DEPT_ADMISSION_TO|HD.DEPT_CODE = P.DEPT_ADMISSION_TO|HD.DEPT_CODE = V.DEPT_ADMISSION_TO|T.DEPT_ADMISSION_TO = KS.DEPT_CODE|T.DEPT_ADMISSION_TO = Q.DEPT_CODE|U.DEPT_CODE = A.DEPT_ADMISSION_TO,CDR_MEDICAL|PAT_VIEW|V_EMR_ANESTHESIA_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_ICH|V_ESBHL_CHECK_ROD|V_ESBHL_INPUT_CASE_FIRP|V_ESBHL_OPER_ROD|V_ESBHL_OUTPUT_SUMMARY
HIS.PAT_VISIT,PATIENT_ID,SM.MED_OPERATION_MASTER,PATIENT_ID,9,9,Y,A.PATIENT_ID = P.PATIENT_ID|A.PATIENT_ID = V.PATIENT_ID|MOM.PATIENT_ID = P.PATIENT_ID|MOM.PATIENT_ID = PV.PATIENT_ID|P.PATIENT_ID = A.PATIENT_ID|V.PATIENT_ID = B.PATIENT_ID,V_EMR_ANES_AFTER_RECORD|V_EMR_ANES_RECORD_MED|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING|V_EMR_OPERA_RECORD|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD
HIS.DEPT_DICT,DEPT_CODE,MTL.EPR_INPATIENT_DOCINDEX,P_DEPT_CODE,8,8,Y,KS.DEPT_CODE = T.P_DEPT_CODE,V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_POSTOPER_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_INFOR_OPERATION|V_EMR_INFOR_SPEC_EXAM_TREAT|V_EMR_OPERA_RECORD
HIS.PAT_VISIT,VISIT_ID,SM.MED_OPERATION_MASTER,VISIT_ID,8,8,Y,A.VISIT_ID = P.VISIT_ID|A.VISIT_ID = V.VISIT_ID|MOM.VISIT_ID = PV.VISIT_ID|P.VISIT_ID = A.VISIT_ID|V.VISIT_ID = B.VISIT_ID,V_EMR_ANES_AFTER_RECORD|V_EMR_ANES_RECORD_MED|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_OPERATION_NURSING|V_EMR_OPERA_RECORD|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD
HIS.CLINIC_MASTER,VISIT_DEPT,HIS.DEPT_DICT,DEPT_CODE,6,6,Y,A.VISIT_DEPT = KS.DEPT_CODE|A.VISIT_DEPT = T.DEPT_CODE|D.VISIT_DEPT = A1.DEPT_CODE|DEPT.DEPT_CODE = A.VISIT_DEPT|KS.DEPT_CODE = A.VISIT_DEPT|KS.DEPT_CODE = D.VISIT_DEPT,CDR_MEDICAL_DIAG|CDR_OUTPATIENT_VISIT|PAT_VIEW|V_BI_MZGH|V_EMR_OUTPATIENT_RECIPE|V_EMR_OUTPATIENT_REGISTER
HIS.PAT_MASTER_INDEX,PATIENT_ID,SM.MED_OPERATION_MASTER,PATIENT_ID,6,6,Y,A.PATIENT_ID = B.PATIENT_ID|A.PATIENT_ID = PMI.PATIENT_ID|A.PATIENT_ID = R.PATIENT_ID|MOM.PATIENT_ID = PMI.PATIENT_ID,SM_HZSJ|V_EMR_ANES_AFTER_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_OPERATION_NURSING|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD
HIS.OPERATION,PATIENT_ID,HIS.PAT_VISIT,PATIENT_ID,5,5,Y,A.PATIENT_ID = B.PATIENT_ID|A.PATIENT_ID = T.PATIENT_ID|O.PATIENT_ID = A.PATIENT_ID|OO.PATIENT_ID = PV.PATIENT_ID|PV.PATIENT_ID = O.PATIENT_ID,V_BI_ZYSS|V_EMR_ICH_OPERATION|V_EMR_OPERA_RECORD|V_ESBHL_INPUT_CASE_FIRP|V_ESBHL_OUTPUT_SUMMARY
HIS.OPERATION,VISIT_ID,HIS.PAT_VISIT,VISIT_ID,5,5,Y,A.VISIT_ID = B.VISIT_ID|A.VISIT_ID = O.VISIT_ID|A.VISIT_ID = T.VISIT_ID|PV.VISIT_ID = O.VISIT_ID,V_BI_ZYSS|V_EMR_ICH_OPERATION|V_EMR_OPERA_RECORD|V_ESBHL_INPUT_CASE_FIRP|V_ESBHL_OUTPUT_SUMMARY
HIS.ORDERS,PATIENT_ID,HIS.PAT_VISIT,PATIENT_ID,3,3,Y,T.PATIENT_ID = A.PATIENT_ID|T.PATIENT_ID = PV.PATIENT_ID|TTT.PATIENT_ID = SW.PATIENT_ID,V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_DOC_ORDER_CHECK|V_ESBHL_OUTPUT_DOCADVICE
