table_pair,left_table,right_table,view_count,edge_count,field_pairs,in_formal_relationships,views
HIS.DEPT_DICT <-> MTL.EPR_INPATIENT_DOCINDEX,HIS.DEPT_DICT,MTL.EPR_INPATIENT_DOCINDEX,8,8,DEPT_CODE=P_DEPT_CODE,Y,V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_POSTOPER_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_INFOR_OPERATION|V_EMR_INFOR_SPEC_EXAM_TREAT|V_EMR_OPERA_RECORD
HIS.CLINIC_MASTER <-> HIS.DEPT_DICT,HIS.CLINIC_MASTER,HIS.DEPT_DICT,6,6,DEPT_CODE=VISIT_DEPT|VISIT_DEPT=DEPT_CODE,Y,CDR_MEDICAL_DIAG|CDR_OUTPATIENT_VISIT|PAT_VIEW|V_BI_MZGH|V_EMR_OUTPATIENT_RECIPE|V_EMR_OUTPATIENT_REGISTER
HIS.PAT_MASTER_INDEX <-> SM.MED_OPERATION_MASTER,HIS.PAT_MASTER_INDEX,SM.MED_OPERATION_MASTER,6,6,PATIENT_ID=PATIENT_ID,Y,SM_HZSJ|V_EMR_ANES_AFTER_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_OPERATION_NURSING|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD
HIS.OPERATION <-> HIS.PAT_VISIT,HIS.OPERATION,HIS.PAT_VISIT,5,10,PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,Y,V_BI_ZYSS|V_EMR_ICH_OPERATION|V_EMR_OPERA_RECORD|V_ESBHL_INPUT_CASE_FIRP|V_ESBHL_OUTPUT_SUMMARY
HIS.ORDERS <-> HIS.PAT_VISIT,HIS.ORDERS,HIS.PAT_VISIT,3,6,PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,Y,V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_DOC_ORDER_CHECK|V_ESBHL_OUTPUT_DOCADVICE
HIS.PATS_IN_HOSPITAL <-> HIS.PAT_VISIT,HIS.PATS_IN_HOSPITAL,HIS.PAT_VISIT,3,6,PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,Y,PAT_VIEW|V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD
HIS.EXAM_MASTER <-> HIS.PAT_VISIT,HIS.EXAM_MASTER,HIS.PAT_VISIT,2,3,PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,Y,V_EMR_ADMISSION_RECORD_EXAM|V_ESBHL_CHECK_ROD
HIS.LAB_RESULT <-> HIS.LAB_TEST_ITEMS,HIS.LAB_RESULT,HIS.LAB_TEST_ITEMS,2,3,ITEM_NO=ITEM_NO|TEST_NO=TEST_NO,Y,V_EMR_INSPECTION_ALLERGY_TEST|V_EMR_INSPECTION_ITEM_TEST
HIS.EXAM_MASTER <-> HIS.EXAM_REPORT,HIS.EXAM_MASTER,HIS.EXAM_REPORT,2,2,EXAM_NO=EXAM_NO,Y,TJZRBL|V_EMR_ADMISSION_RECORD_EXAM
HIS.OUTP_BILL_ITEMS <-> HIS.OUTP_RCPT_MASTER,HIS.OUTP_BILL_ITEMS,HIS.OUTP_RCPT_MASTER,2,2,RCPT_NO=RCPT_NO,Y,V_EMR_OUT_FEE_INFO_CHILD|V_EMR_OUT_FEE_INFO_MAIN
HIS.LAB_TEST_MASTER <-> HIS.PAT_VISIT,HIS.LAB_TEST_MASTER,HIS.PAT_VISIT,1,2,PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,Y,V_ESBHL_INSPECTION_ROD
HIS.LAB_RESULT <-> HIS.LAB_TEST_MASTER,HIS.LAB_RESULT,HIS.LAB_TEST_MASTER,1,1,TEST_NO=TEST_NO,Y,V_EMR_INSPECTION_ALLERGY_TEST
JHEMR.JHMR_FILE_CONTENT_TEXT <-> JHEMR.JHMR_FILE_INDEX,JHEMR.JHMR_FILE_CONTENT_TEXT,JHEMR.JHMR_FILE_INDEX,1,1,FILE_UNIQUE_ID=FILE_UNIQUE_ID,Y,CDR_EMR_DOCUMENT
