table_pair,left_table,right_table,view_count,edge_count,field_pairs,in_formal_relationships,views
HIS.INP_BILL_DETAIL <-> HIS.STAFF_GROUP_DICT,HIS.INP_BILL_DETAIL,HIS.STAFF_GROUP_DICT,1,1,GROUP_CODE=ORDER_GROUP,N,PL_SFXMMX
HIS.INP_BILL_DETAIL <-> UNKNOWN.CDA_VALUE_DOMAIN_MAP,HIS.INP_BILL_DETAIL,UNKNOWN.CDA_VALUE_DOMAIN_MAP,1,1,HOSPITAL_CODE=ITEM_CODE,N,V_EMR_IN_FEE_INFO_CHILD
HIS.LAB_TEST_MASTER <-> HIS.PAT_MASTER_INDEX,HIS.LAB_TEST_MASTER,HIS.PAT_MASTER_INDEX,1,1,PATIENT_ID=PATIENT_ID,N,V_ESBHL_INSPECTION_ROD
HIS.MED_DICT_BASEINFO <-> PORTAL_USER.PORTAL_SYS_DICT,HIS.MED_DICT_BASEINFO,PORTAL_USER.PORTAL_SYS_DICT,1,1,PHY_CLASS=DICT_CODE,N,V_EMR_DOC_ORDER_DRUG
HIS.MR_BASE_DICT <-> HIS.PAT_MASTER_INDEX,HIS.MR_BASE_DICT,HIS.PAT_MASTER_INDEX,1,1,ITEM_CODE=ID_TYPE,N,CDR_PATIENT_INFO
HIS.OCCUPATION_DICT <-> HIS.PAT_VISIT,HIS.OCCUPATION_DICT,HIS.PAT_VISIT,1,1,OCCUPATION_CODE=OCCUPATION,N,V_ESBHL_OUTPUT_SUMMARY
HIS.OPERATION <-> HIS.PAT_MASTER_INDEX,HIS.OPERATION,HIS.PAT_MASTER_INDEX,1,1,PATIENT_ID=PATIENT_ID,N,V_EMR_ICH_OPERATION
HIS.ORDERS <-> HIS.ORDER_CLASS_DICT,HIS.ORDERS,HIS.ORDER_CLASS_DICT,1,1,ORDER_CLASS_CODE=ORDER_CLASS,N,V_ESBHL_OUTPUT_DOCADVICE
HIS.ORDERS <-> UNKNOWN.DOC_REGISTER_EMP_MATCH,HIS.ORDERS,UNKNOWN.DOC_REGISTER_EMP_MATCH,1,1,EMP_NO=DOCTOR_USER,N,V_EMR_DOC_ORDER_CHECK
HIS.OUTP_BILL_ITEMS <-> HIS.PAT_MASTER_INDEX,HIS.OUTP_BILL_ITEMS,HIS.PAT_MASTER_INDEX,1,1,HOSPITAL_CODE=ITEM_CODE,N,V_EMR_OUT_FEE_INFO_CHILD
HIS.OUTP_BILL_ITEMS <-> HIS.STAFF_DICT,HIS.OUTP_BILL_ITEMS,HIS.STAFF_DICT,1,1,EMP_NO=ORDERED_BY_DOCTOR,N,V_EMR_OUT_FEE_INFO_CHILD
HIS.OUTP_RCPT_MASTER <-> HIS.STAFF_DICT,HIS.OUTP_RCPT_MASTER,HIS.STAFF_DICT,1,1,EMP_NO=OPERATOR_NO,N,V_EMR_OUT_FEE_INFO_CHILD
HIS.PATIENT_CLASS_DICT <-> HIS.PAT_VISIT,HIS.PATIENT_CLASS_DICT,HIS.PAT_VISIT,1,1,PATIENT_CLASS_CODE=PATIENT_CLASS,N,V_ESBHL_INPUT_CASE_FIRP
HIS.PATS_IN_HOSPITAL <-> HIS.PAT_MASTER_INDEX,HIS.PATS_IN_HOSPITAL,HIS.PAT_MASTER_INDEX,1,1,PATIENT_ID=PATIENT_ID,N,INPAT_LIST
HIS.PAT_MASTER_INDEX <-> HIS.RELATIONSHIP_DICT,HIS.PAT_MASTER_INDEX,HIS.RELATIONSHIP_DICT,1,1,RELATIONSHIP_CODE=RELATIONSHIP,N,CDR_PATIENT_INFO
HIS.PAT_MASTER_INDEX <-> SHUNNENG.APPOINTINFOVIEW,HIS.PAT_MASTER_INDEX,SHUNNENG.APPOINTINFOVIEW,1,1,SFZH=ID_NO,N,V_EMR_OUTPATIENT_REGISTER
HIS.PAT_MASTER_INDEX <-> SM.MED_ANESTHESIA_PLAN,HIS.PAT_MASTER_INDEX,SM.MED_ANESTHESIA_PLAN,1,1,PATIENT_ID=PATIENT_ID,N,V_ESBHL_ANE_ROD
HIS.PAT_MASTER_INDEX <-> UNKNOWN.CDA_VALUE_DOMAIN_MAP,HIS.PAT_MASTER_INDEX,UNKNOWN.CDA_VALUE_DOMAIN_MAP,1,1,PATIENT_ID=PATIENT_ID,N,V_EMR_DOC_ORDER_DRUG
HIS.PAT_MASTER_INDEX <-> UNKNOWN.V_EMR_ADMISSION_RECORD,HIS.PAT_MASTER_INDEX,UNKNOWN.V_EMR_ADMISSION_RECORD,1,1,ADMISSION_ID=PATIENT_ID,N,V_EMR_ADMISSION_DEAD_RECORD_TF
HIS.PAT_VISIT <-> HIS.RELATIONSHIP_DICT,HIS.PAT_VISIT,HIS.RELATIONSHIP_DICT,1,1,RELATIONSHIP_CODE=RELATIONSHIP,N,V_ESBHL_INPUT_CASE_FIRP
HIS.STAFF_DICT <-> MTL.EMRSD47,HIS.STAFF_DICT,MTL.EMRSD47,1,1,NAME=ZCRXM,N,V_EMR_HOS_PREOP_DISCUSS
HIS.STAFF_DICT <-> UNKNOWN.AI_ZK_MED_USER_DICT,HIS.STAFF_DICT,UNKNOWN.AI_ZK_MED_USER_DICT,1,1,USERID=EMP_NO,N,V_AI_ZKUSER
HIS.STAFF_DICT <-> UNKNOWN.TITLE_DICT,HIS.STAFF_DICT,UNKNOWN.TITLE_DICT,1,1,TITLE=TITLE_NAME,N,V_EMR_OUTPATIENT_RECORD
HIS.STAFF_DICT <-> XD.REPORT_TBL,HIS.STAFF_DICT,XD.REPORT_TBL,1,1,NAME=CONFIRM_DOCTOR,N,JC_DETAIL
HIS.STAFF_DICT <-> XD.STUDY_TBL,HIS.STAFF_DICT,XD.STUDY_TBL,1,1,NAME=UPDATE_USER,N,JC_DETAIL
HIS.STAFF_DICT <-> YDHL.MCS_PATIENT_ALLERY_HISTORY,HIS.STAFF_DICT,YDHL.MCS_PATIENT_ALLERY_HISTORY,1,1,EMP_NO=DOCTOR_IN_CHARGE,N,INP_INFO114
LIS.LAB_REPORT <-> LIS.LAB_RESULT,LIS.LAB_REPORT,LIS.LAB_RESULT,1,1,REPORTID=REPORTID,N,LAB_REPORT
