source_db,source_owner,table_name,full_name,domain,table_role,include_status,exclude_reason,include_note,num_rows_stats,column_count,primary_key,ods_same_name_covered,ods_field_coverage_ratio
10.10.10.15:1521/his,COMM,BIRTH_RESULT_DICT,COMM.BIRTH_RESULT_DICT,字典,dimension,included,,基础字典/维表,6,4,SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,BIRTH_TYPE_DICT,COMM.BIRTH_TYPE_DICT,字典,dimension,included,,基础字典/维表,8,4,SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,BLOOD_TYPE_DICT,COMM.BLOOD_TYPE_DICT,字典,dimension,included,,基础字典/维表,6,3,BLOOD_TYPE_NAME,true,1.0
10.10.10.15:1521/his,COMM,BREECH_PRESENTATION_DICT,COMM.BREECH_PRESENTATION_DICT,字典,dimension,included,,基础字典/维表,6,4,SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,CAT,COMM.CAT,公共字典/基础资料,dimension,included,,基础字典/维表,5674,2,,false,0
10.10.10.15:1521/his,COMM,CDIAG_ITEM_DICT,COMM.CDIAG_ITEM_DICT,诊断,dimension,included,,基础字典/维表,0,3,,false,0
10.10.10.15:1521/his,COMM,CEQ$STAFF_DICT,COMM.CEQ$STAFF_DICT,组织人员,dimension,included,,基础字典/维表,0,17,,false,0
10.10.10.15:1521/his,COMM,CHARGE_PRICE_SCHEDULE,COMM.CHARGE_PRICE_SCHEDULE,费用,dimension,included,,基础字典/维表,21,4,CHARGE_TYPE,false,0
10.10.10.15:1521/his,COMM,CHARGE_SPECIAL_CLINIC_DICT,COMM.CHARGE_SPECIAL_CLINIC_DICT,费用,dimension,included,,基础字典/维表,0,5,ITEM_CODE+FLAG,false,0
10.10.10.15:1521/his,COMM,CHARGE_SPECIAL_EXCEPT_DICT,COMM.CHARGE_SPECIAL_EXCEPT_DICT,费用,dimension,included,,基础字典/维表,0,7,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,false,0
10.10.10.15:1521/his,COMM,CHARGE_SPECIAL_ITEM_DICT,COMM.CHARGE_SPECIAL_ITEM_DICT,费用,dimension,included,,基础字典/维表,18,11,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,false,0
10.10.10.15:1521/his,COMM,CHARGE_TYPE_CONFIGER_PARAMETER,COMM.CHARGE_TYPE_CONFIGER_PARAMETER,费用,dimension,included,,基础字典/维表,0,3,CHARGE_TYPE_NAME,false,0
10.10.10.15:1521/his,COMM,CHARGE_TYPE_DICT,COMM.CHARGE_TYPE_DICT,费用,dimension,included,,基础字典/维表,18,16,CHARGE_TYPE_NAME,true,1.0
10.10.10.15:1521/his,COMM,CHARGE_TYPE_VS_IDENTITY,COMM.CHARGE_TYPE_VS_IDENTITY,费用,dimension,included,,基础字典/维表,51,3,CHARGE_TYPE+IDENTITY_SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,CHECK_LABEL_DICT,COMM.CHECK_LABEL_DICT,检验,dimension,included,,基础字典/维表,0,4,CHECK_LABEL_CODE,false,0
10.10.10.15:1521/his,COMM,CLASS_CODING_CONFIG,COMM.CLASS_CODING_CONFIG,字典,dimension,included,,基础字典/维表,1,10,ITEM,false,0
10.10.10.15:1521/his,COMM,CLASS_CODING_RULE,COMM.CLASS_CODING_RULE,字典,dimension,included,,基础字典/维表,3,3,ITEM+CODE_LEVEL,false,0
10.10.10.15:1521/his,COMM,CLG$STAFF_DICT,COMM.CLG$STAFF_DICT,组织人员,dimension,included,,基础字典/维表,0,3,,false,0
10.10.10.15:1521/his,COMM,CLIENT_INSTALLATION,COMM.CLIENT_INSTALLATION,公共字典/基础资料,dimension,included,,基础字典/维表,720,8,CLIENT_NAME+LOCATION,false,0
10.10.10.15:1521/his,COMM,CLIENT_INSTALLATION_LOG,COMM.CLIENT_INSTALLATION_LOG,公共字典/基础资料,excluded,excluded,日志类表，用户确认第一版排除,,18,9,,false,0
10.10.10.15:1521/his,COMM,CLINICAL_DEPT_CONFIG,COMM.CLINICAL_DEPT_CONFIG,组织人员,dimension,included,,基础字典/维表,1,6,DEPT_CODE,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_CLASS_DICT,COMM.CLINIC_ITEM_CLASS_DICT,字典,dimension,included,,基础字典/维表,11,4,CLASS_CODE,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_DICT,COMM.CLINIC_ITEM_DICT,字典,dimension,included,,基础字典/维表,18916,32,ITEM_CLASS+ITEM_CODE,true,1.0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_DICT_20250630,COMM.CLINIC_ITEM_DICT_20250630,字典,dimension,included,,基础字典/维表,21,29,,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_DICT_20260131,COMM.CLINIC_ITEM_DICT_20260131,字典,dimension,included,,基础字典/维表,16459,31,ITEM_CLASS+ITEM_CODE,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_DICT_20260331,COMM.CLINIC_ITEM_DICT_20260331,字典,dimension,included,,基础字典/维表,18768,32,ITEM_CLASS+ITEM_CODE,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_MAPPING,COMM.CLINIC_ITEM_MAPPING,公共字典/基础资料,dimension,included,,基础字典/维表,522,7,,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_MAPPING_0509,COMM.CLINIC_ITEM_MAPPING_0509,公共字典/基础资料,dimension,included,,基础字典/维表,524,7,,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_MAPPING_20260507,COMM.CLINIC_ITEM_MAPPING_20260507,公共字典/基础资料,dimension,included,,基础字典/维表,410,7,,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_MAPPING_20260616,COMM.CLINIC_ITEM_MAPPING_20260616,公共字典/基础资料,dimension,included,,基础字典/维表,526,7,,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_MAPPING_D,COMM.CLINIC_ITEM_MAPPING_D,公共字典/基础资料,dimension,included,,基础字典/维表,262,7,,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_NAME_DICT,COMM.CLINIC_ITEM_NAME_DICT,字典,dimension,included,,基础字典/维表,20907,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_NAME_DICT_20250630,COMM.CLINIC_ITEM_NAME_DICT_20250630,字典,dimension,included,,基础字典/维表,21,14,,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_NAME_DICT_20260131,COMM.CLINIC_ITEM_NAME_DICT_20260131,字典,dimension,included,,基础字典/维表,18389,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,false,0
10.10.10.15:1521/his,COMM,CLINIC_ITEM_NAME_DICT_20260331,COMM.CLINIC_ITEM_NAME_DICT_20260331,字典,dimension,included,,基础字典/维表,20759,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,false,0
10.10.10.15:1521/his,COMM,CLINIC_OPER_LOG,COMM.CLINIC_OPER_LOG,手术,excluded,excluded,日志类表，用户确认第一版排除,,0,8,OPER_DATE+ITEM_CODE,false,0
10.10.10.15:1521/his,COMM,CLINIC_TYPE_CHARGE_DICT,COMM.CLINIC_TYPE_CHARGE_DICT,费用,dimension,included,,基础字典/维表,160,5,CLINIC_TYPE+REGIST_TYPE+CHARGE_ITEM,false,0
