from_table,to_table,relation_type,confidence,validation_level,validation_status,note
jhemr.pats_in_hospital,jhemr.v_jhnis_bp_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_nurse_emrfile_elem,jhemr.v_jhnis_catheter_remind,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_nurse_emrfile_index,jhemr.v_jhnis_catheter_remind,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_nurse_elem_dict,jhemr.v_jhnis_catheter_remind,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jhnis_defecate_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.v_jhnis_defecate_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_jhnis_defecate_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jhnis_firstdayofweek_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_jhnis_firstdayofweek_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_temperature_items,jhemr.v_jhnis_high_fever_pats,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.v_jhnis_high_fever_pats,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_jhnis_high_temp_pats,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.vital_signs_rec,jhemr.v_jhnis_high_temp_pats,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jhnis_newadm_pats,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_jhnis_newadm_pats,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.v_jhnis_pain_pats,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jhnis_temp_new_temp,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jhnis_temp_vs_nurssing,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.v_jhnis_temp_vs_nurssing,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.v_jhnis_catheter_remind,jhemr.v_jhnis_using_catheter_data,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.v_jhnis_vital_signs,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jhnis_weight_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.v_jhnis_weight_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_jhnis_weight_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhcdr.jhcdr_inpat_order,jhemr.v_jhnis_weight_today,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhsd_elem_items_emr_map,jhemr.v_jhsd_diagnosis,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.v_jhsd_diagnosis,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.first_page_costs,jhemr.v_jhsd_first_page_costs,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation,jhemr.v_jhsd_operation,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhsd_elem_items_emr_map,jhemr.v_jhsd_operation,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jhsd_pat_visit,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_jhsd_pat_visit,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_templet_class,jhemr.v_jinchuangbl,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_jinchuangbl,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_jinchuangbl,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_mrcatalog_delay_sign,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.v_mrcatalog_delay_sign,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_mrcatalog_delay_sign,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_mrcatalog_no_sign,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.v_mrcatalog_no_sign,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_mrcatalog_no_sign,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_operation_dict,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation_contrast_dict,jhemr.v_operation_dict,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation_dict,jhemr.v_operation_dict,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation,jhemr.v_operative_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_operative_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_operative_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_operative_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.bed_rec,jhemr.v_patcardlist,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_patcardlist,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_patcardlist,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_patcardlist,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhinpat_mr_on_line,jhemr.v_patcardlist,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pats_in_hospital,jhemr.v_pats_in_hospital,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.v_pats_in_hospital,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_preoperative_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_dg,jhemr.v_preoperative_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_preoperative_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_preoperative_summary,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_progress_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_progress_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_progress_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_progress_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_superior_rounds,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_superior_rounds,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_superior_rounds,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_superior_rounds,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_sxzqtys,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_sxzqtys,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_sxzqtys,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_病案_病案状态查询,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_病案_病案状态查询,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.v_病案_病案状态查询,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_病案_病案状态查询,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.view_ckbl,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_dg,jhemr.view_ckbl,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.view_ckbl,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhnis.jhnis_inpat_vital_signs,jhemr.view_jhnis_inpat_vital_signs,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.operation,jhemr.view_operation_desc,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index_vs_operation,jhemr.view_operation_desc,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.view_zdhc,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.vital_signs_rec,jhemr.vital_nis_to_emr,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
