system_code,source_code,source_db,source_owner,namespace_name,schema_name,table_name,full_name,table_comment,domain,table_role,include_status,governance_import_status,review_status,num_rows_stats,last_analyzed,column_count,primary_key,primary_key_status,unique_key_count,scope_note
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,ARMED_SERVICES_DICT,COMM.ARMED_SERVICES_DICT,军种字典,字典,dimension,included,active,approved,5,2025-02-06T22:02:23,4,ARMED_SERVICES_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AUTO_SETTING,COMM.AUTO_SETTING,,公共字典/基础资料,dimension,included,active,approved,0,2025-02-06T22:02:19,11,ID,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AUTO_SETTING_ID,COMM.AUTO_SETTING_ID,,公共字典/基础资料,dimension,included,active,approved,27,2026-07-05T18:02:24,12,SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_APPROVED_TYPE_DICT,COMM.BED_APPROVED_TYPE_DICT,床位编制类型字典,组织人员,dimension,included,active,approved,4,2025-02-06T22:02:24,4,BED_APPROVED_TYPE_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_CLASS_DICT,COMM.BED_CLASS_DICT,床位等级字典,组织人员,dimension,included,active,approved,24,2025-07-01T22:00:06,4,BED_CLASS_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_STATUS_DICT,COMM.BED_STATUS_DICT,床位状态字典,组织人员,dimension,included,active,approved,3,2021-12-03T22:00:16,4,BED_STATUS_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_TYPE_DICT,COMM.BED_TYPE_DICT,床位类型字典,组织人员,dimension,included,active,approved,3,2025-02-06T22:02:24,4,BED_TYPE_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_VS_AIRCONDITION,COMM.BED_VS_AIRCONDITION,,组织人员,dimension,included,active,approved,0,2025-02-06T22:02:21,2,BED_CLASS_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILLING_GROUP_DICT,COMM.BILLING_GROUP_DICT,收费部门分组字典,费用,dimension,included,active,approved,0,2025-02-06T22:02:16,5,GROUP_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_ITEM_CLASS_DICT,COMM.BILL_ITEM_CLASS_DICT,价表项目分类字典,费用,dimension,included,active,approved,14,2022-08-31T22:00:18,7,CLASS_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_PATTERN_DETAIL,COMM.BILL_PATTERN_DETAIL,费用模板明细记录,费用,dimension,included,active,approved,26965,2026-07-01T22:03:15,15,DEPT_CODE+PATTERN_NAME+ITEM_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_PATTERN_MASTER,COMM.BILL_PATTERN_MASTER,费用模板主记录,费用,dimension,included,active,approved,4005,2026-06-26T22:00:43,12,DEPT_CODE+PATTERN_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_PATTERN_MASTER_copy1,COMM.BILL_PATTERN_MASTER_copy1,费用模板主记录,费用,excluded,excluded,excluded,unreviewed,3946,2026-01-27T22:00:04,12,DEPT_CODE+PATTERN_NAME,present,0,临时/备份/测试表，第一版排除
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_UNITS_DICT,COMM.BILL_UNITS_DICT,计价单位字典,费用,dimension,included,active,approved,0,2025-02-06T22:02:18,4,BILL_UNITS_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BIRTH_RESULT_DICT,COMM.BIRTH_RESULT_DICT,,字典,dimension,included,active,approved,6,2025-02-06T22:02:24,4,SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BIRTH_TYPE_DICT,COMM.BIRTH_TYPE_DICT,,字典,dimension,included,active,approved,8,2025-02-06T22:02:24,4,SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BLOOD_TYPE_DICT,COMM.BLOOD_TYPE_DICT,血型字典,字典,dimension,included,active,approved,6,2024-09-07T06:00:23,3,BLOOD_TYPE_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BREECH_PRESENTATION_DICT,COMM.BREECH_PRESENTATION_DICT,新生儿表中臀位字典表,字典,dimension,included,active,approved,6,2025-02-06T22:02:26,4,SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CAT,COMM.CAT,,公共字典/基础资料,dimension,included,active,approved,5674,2024-05-10T22:00:11,2,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CDIAG_ITEM_DICT,COMM.CDIAG_ITEM_DICT,,诊断,dimension,included,active,approved,0,2025-02-06T22:02:16,3,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CEQ$STAFF_DICT,COMM.CEQ$STAFF_DICT,,组织人员,dimension,included,active,approved,0,2025-02-06T22:02:18,17,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_PRICE_SCHEDULE,COMM.CHARGE_PRICE_SCHEDULE,收费系数字典,费用,dimension,included,active,approved,21,2025-06-19T22:01:11,4,CHARGE_TYPE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_SPECIAL_CLINIC_DICT,COMM.CHARGE_SPECIAL_CLINIC_DICT,,费用,dimension,included,active,approved,0,2025-02-06T22:02:19,5,ITEM_CODE+FLAG,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_SPECIAL_EXCEPT_DICT,COMM.CHARGE_SPECIAL_EXCEPT_DICT,收费特殊项目排斥字典,费用,dimension,included,active,approved,0,2025-02-06T22:02:20,7,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_SPECIAL_ITEM_DICT,COMM.CHARGE_SPECIAL_ITEM_DICT,收费特殊项目字典,费用,dimension,included,active,approved,18,2023-09-27T22:00:52,11,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_TYPE_CONFIGER_PARAMETER,COMM.CHARGE_TYPE_CONFIGER_PARAMETER,费别参数字典,费用,dimension,included,active,approved,0,2025-02-06T22:02:26,3,CHARGE_TYPE_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_TYPE_DICT,COMM.CHARGE_TYPE_DICT,费别字典,费用,dimension,included,active,approved,18,2022-08-30T22:00:15,16,CHARGE_TYPE_NAME,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_TYPE_VS_IDENTITY,COMM.CHARGE_TYPE_VS_IDENTITY,费别与身份对照关系,费用,dimension,included,active,approved,51,2025-02-06T22:02:24,3,CHARGE_TYPE+IDENTITY_SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHECK_LABEL_DICT,COMM.CHECK_LABEL_DICT,支票标识字典,检验,dimension,included,active,approved,0,2025-02-06T22:02:19,4,CHECK_LABEL_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLASS_CODING_CONFIG,COMM.CLASS_CODING_CONFIG,层次输入法定义,字典,dimension,included,active,approved,1,2025-02-06T22:02:24,10,ITEM,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLASS_CODING_RULE,COMM.CLASS_CODING_RULE,分层编码描述,字典,dimension,included,active,approved,3,2025-02-06T22:02:23,3,ITEM+CODE_LEVEL,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLG$STAFF_DICT,COMM.CLG$STAFF_DICT,,组织人员,dimension,included,active,approved,0,2025-02-06T22:02:18,3,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLIENT_INSTALLATION,COMM.CLIENT_INSTALLATION,计算机站点,公共字典/基础资料,dimension,included,active,approved,720,2026-01-29T22:01:25,8,CLIENT_NAME+LOCATION,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLIENT_INSTALLATION_LOG,COMM.CLIENT_INSTALLATION_LOG,,公共字典/基础资料,excluded,excluded,excluded,unreviewed,18,2025-06-19T22:01:11,9,,missing,0,日志类表，23 已确认第一版排除
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINICAL_DEPT_CONFIG,COMM.CLINICAL_DEPT_CONFIG,临床科室配置情况,组织人员,dimension,included,active,approved,1,2025-02-06T22:02:22,6,DEPT_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_CLASS_DICT,COMM.CLINIC_ITEM_CLASS_DICT,诊疗项目分类字典,字典,dimension,included,active,approved,11,2025-02-06T22:02:24,4,CLASS_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_DICT,COMM.CLINIC_ITEM_DICT,临床诊疗项目字典,字典,dimension,included,active,approved,18916,2026-04-01T22:02:04,32,ITEM_CLASS+ITEM_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
