system_code,source_code,source_db,source_owner,namespace_name,schema_name,table_name,full_name,table_comment,domain,table_role,include_status,governance_import_status,review_status,num_rows_stats,last_analyzed,column_count,primary_key,primary_key_status,unique_key_count,scope_note,source_file_name,confirmation_status,activity_status,data_granularity,candidate_relation_fields
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AREA_DICT_20201111,COMM.AREA_DICT_20201111,行政区字典,标准映射表,dimension,included,active,approved,3709,,8,AREA_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AREA_DICT_20201126,COMM.AREA_DICT_20201126,行政区字典,标准映射表,dimension,included,active,approved,3675,,8,AREA_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AREA_DICT_BAK,COMM.AREA_DICT_BAK,行政区字典,标准映射表,dimension,included,active,approved,3841,,5,AREA_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AREA_DICT_ZAL,COMM.AREA_DICT_ZAL,需要人工确认,标准映射表,dimension,included,active,approved,0,,6,AREA_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,ARMED_SERVICES_DICT,COMM.ARMED_SERVICES_DICT,军种字典,标准映射表,dimension,included,active,approved,5,,4,ARMED_SERVICES_NAME,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AUTO_SETTING,COMM.AUTO_SETTING,需要人工确认,标准映射表,dimension,included,active,approved,0,,11,ID,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,AUTO_SETTING_ID,COMM.AUTO_SETTING_ID,需要人工确认,标准映射表,dimension,included,active,approved,27,,12,SERIAL_NO,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_APPROVED_TYPE_DICT,COMM.BED_APPROVED_TYPE_DICT,床位编制类型字典,人员字典,dimension,included,active,approved,4,,4,BED_APPROVED_TYPE_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_CLASS_DICT,COMM.BED_CLASS_DICT,床位等级字典,人员字典,dimension,included,active,approved,24,,4,BED_CLASS_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_STATUS_DICT,COMM.BED_STATUS_DICT,床位状态字典,人员字典,dimension,included,active,approved,3,,4,BED_STATUS_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
