"system_code","source_code","relationship_id","source_db","from_table","from_columns","to_table","to_columns","join_condition","relationship_type","validation_status","validation_source","confidence","candidate_score","score_reasons","from_table_role","to_table_role","from_rows_stats","to_rows_stats","recommended_action"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0029","10.10.10.15:1521/his","EXAM.EXAM_ITEMS","EXAM_NO","EXAM.EXAM_MASTER","EXAM_NO","EXAM.EXAM_ITEMS.EXAM_NO=EXAM.EXAM_MASTER.EXAM_NO","sample_checked_candidate","sample_fail","33_ready_his候选关系补验","D","","sample_match_rate=0.809; orphan_count=1910","","","","","keep_candidate_rework"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0231","10.10.10.15:1521/his","LAB.LAB_TEST_ITEMS_DETAIL","TEST_NO","LAB.LAB_TEST_MASTER","TEST_NO","LAB.LAB_TEST_ITEMS_DETAIL.TEST_NO=LAB.LAB_TEST_MASTER.TEST_NO","sample_checked_candidate","sample_fail","33_ready_his候选关系补验","D","","sample_match_rate=0.956; orphan_count=440","","","","","keep_candidate_rework"
"HIS_SOURCE","his_ready_10_10_10_15","CAND0524_VIA_MASTER","10.10.10.15:1521/his","PHARMACY.DOCT_DRUG_PRESC_DETAIL + DOCT_DRUG_PRESC_MASTER","PRESC_NO+PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","ORDADM.ORDERS","PATIENT_ID+VISIT_ID+ORDER_NO+ORDER_SUB_NO","PHARMACY.DOCT_DRUG_PRESC_DETAIL + DOCT_DRUG_PRESC_MASTER.PRESC_NO=ORDADM.ORDERS.PATIENT_ID AND PHARMACY.DOCT_DRUG_PRESC_DETAIL + DOCT_DRUG_PRESC_MASTER.PATIENT_ID=ORDADM.ORDERS.VISIT_ID AND PHARMACY.DOCT_DRUG_PRESC_DETAIL + DOCT_DRUG_PRESC_MASTER.VISIT_ID=ORDADM.ORDERS.ORDER_NO AND PHARMACY.DOCT_DRUG_PRESC_DETAIL + DOCT_DRUG_PRESC_MASTER.ORDER_NO=ORDADM.ORDERS.ORDER_SUB_NO AND PHARMACY.DOCT_DRUG_PRESC_DETAIL + DOCT_DRUG_PRESC_MASTER.ORDER_SUB_NO=ORDADM.ORDERS.","sample_checked_candidate","sample_fail","33_ready_his候选关系补验","D","","sample_match_rate=0.143; orphan_count=857","","","","","keep_candidate_rework"
