系统,库名,表名,业务对象,候选主键,总数,去重数,重复数,空值数,是否可作为主键,是否可跨系统关联,风险说明,验证口径
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY.DOCT_DRUG_PRESC_MASTER,,PATIENT_ID+VISIT_ID,100000,24183,75817,0,否,否,本轮为前 100000 行样本唯一性验证；正式入库前建议全量或按索引复核,sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY.DOCT_DRUG_PRESC_DETAIL,,PRESC_DATE+PRESC_NO+ITEM_NO,100000,100000,0,0,是,待确认,本轮为前 100000 行样本唯一性验证；正式入库前建议全量或按索引复核,sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY.DOCT_DRUG_PRESC_DETAIL,,ORDER_NO+ORDER_SUB_NO,100000,6,99994,100000,否,否,本轮为前 100000 行样本唯一性验证；正式入库前建议全量或按索引复核,sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,COMM.DEPT_DICT,,DEPT_CODE,816,816,0,0,是,待确认,本轮为前 100000 行样本唯一性验证；正式入库前建议全量或按索引复核,sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,COMM.STAFF_DICT,,STAFF_ID,,,,,待确认,待确认,"query_error: DatabaseError: ORA-00904: ""STAFF_ID"": invalid identifier",sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,COMM.STAFF_DICT,,NAME,4220,3958,262,0,否,否,本轮为前 100000 行样本唯一性验证；正式入库前建议全量或按索引复核,sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,COMM.DRUG_DICT,,DRUG_CODE,6042,6041,1,0,否,否,本轮为前 100000 行样本唯一性验证；正式入库前建议全量或按索引复核,sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,COMM.CLINIC_ITEM_DICT,,ITEM_CODE,19069,19051,18,0,否,否,本轮为前 100000 行样本唯一性验证；正式入库前建议全量或按索引复核,sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,COMM.EXAM_ITEM_DICT,,EXAM_ITEM_CODE,,,,,待确认,待确认,"query_error: DatabaseError: ORA-00904: ""EXAM_ITEM_CODE"": invalid identifier",sample_first_100000
HIS_SOURCE,his_ready_10_10_10_15,COMM.LAB_ITEM_DICT,,LAB_ITEM_CODE,,,,,待确认,待确认,"query_error: DatabaseError: ORA-00904: ""LAB_ITEM_CODE"": invalid identifier",sample_first_100000
