差异类型,系统,库名,Schema,表名,字段名,来源文件名称,文档内容,实际库内容,风险等级,建议处理,是否需要人工确认
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,OUTPBILL,OUTP_PAYMENTS_MONEY_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_DISPENSE_PRE_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_DISPENSE_REC_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
文档中有但实际库没有的表,HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_DISPENSE_REQ_COPY1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在,READY_HIS 未发现,高,确认是否迁移/更名/废弃,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_DICT_FACTORY_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_DRUG_LOC_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_TRACE_RECORD_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_TRACE_STORGE_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_CHECK_DETAIL_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_FIN_MONTHDETAIL_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_FIN_MONTHSETTLE_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_INIT_ACCOUNT_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_STORAGE_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_STORAGE_copy2,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,Sheet1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,sheet_drug,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,zsm,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,INPBILL,INP_BILL_DETAIL_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,INPBILL,INP_BILL_DETAIL_copy2,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,INPBILL,INP_BILL_DETAIL_copy3,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,INPBILL,INP_BILL_DETAIL_copy4,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
