系统,库名,Schema,表名,时间字段,总行数,时间字段非空数,时间字段空值数,最早时间,最晚时间,近5天,近30天,近90天,近1年,最近数据距离当前日期的天数,活跃度判断,是否可能弃用,判断依据,需要人工确认,验证口径
HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_INP_REQUEST_DRUG,DISP_EXECUTE_TIME,5001602,5001602,0,2025-07-04 20:47:22,2026-07-05 21:36:11,66711,397858,1269662,4991241,0,活跃表,否,按 DISP_EXECUTE_TIME 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,PHA_INP_DISPDETAIL,CHECK_DATE,5007104,5007104,0,2025-07-04 20:47:22,2026-07-05 21:36:11,66785,398156,1270579,4996742,0,活跃表,否,按 CHECK_DATE 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_PRESC_MASTER,PRESC_DATE,,,,,,,,,,,无法判断,否,统计 SQL 超时或字段不可用,后续在低峰期或按分区/索引重跑,query_error: ValueError: year -8874 is out of range
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_PRESC_DETAIL,PRESC_DATE,,,,,,,,,,,无法判断,否,统计 SQL 超时或字段不可用,后续在低峰期或按分区/索引重跑,query_error: ValueError: year -8874 is out of range
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_DISPENSE_REC,DISPENSING_DATE_TIME,47120278,47120278,0,2014-01-01 11:26:31,2025-07-04 19:21:54,0,0,0,0,366,历史表,否,按 DISPENSING_DATE_TIME 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_DISPENSE_REC_DISPDATE,DISPENSING_DATE_TIME,47120278,47120278,0,2014-01-01 11:26:31,2025-07-04 19:21:54,0,0,0,0,366,历史表,否,按 DISPENSING_DATE_TIME 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DOCT_DRUG_PRESC_MASTER,PRESC_DATE,1964015,1964015,0,2014-01-01 13:48:16,2026-07-05 21:30:47,4983,31577,102905,435441,0,活跃表,否,按 PRESC_DATE 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DOCT_DRUG_PRESC_DETAIL,PRESC_DATE,3863892,3863892,0,2014-01-01 13:48:16,2026-07-05 21:30:47,10961,67265,227902,954692,0,活跃表,否,按 PRESC_DATE 统计,,full_count_with_call_timeout
HIS_SOURCE,his_ready_10_10_10_15,COMM,DEPT_DICT,,,,,,,,,,,,无法判断,否,没有可靠业务时间字段或本轮未选定,确认该表代表业务发生时间的字段,not_checked
HIS_SOURCE,his_ready_10_10_10_15,COMM,STAFF_DICT,,,,,,,,,,,,无法判断,否,没有可靠业务时间字段或本轮未选定,确认该表代表业务发生时间的字段,not_checked
HIS_SOURCE,his_ready_10_10_10_15,COMM,DRUG_DICT,,,,,,,,,,,,无法判断,否,没有可靠业务时间字段或本轮未选定,确认该表代表业务发生时间的字段,not_checked
HIS_SOURCE,his_ready_10_10_10_15,COMM,CLINIC_ITEM_DICT,,,,,,,,,,,,无法判断,否,没有可靠业务时间字段或本轮未选定,确认该表代表业务发生时间的字段,not_checked
HIS_SOURCE,his_ready_10_10_10_15,COMM,EXAM_ITEM_DICT,,,,,,,,,,,,无法判断,否,没有可靠业务时间字段或本轮未选定,确认该表代表业务发生时间的字段,not_checked
HIS_SOURCE,his_ready_10_10_10_15,COMM,LAB_ITEM_DICT,,,,,,,,,,,,无法判断,否,没有可靠业务时间字段或本轮未选定,确认该表代表业务发生时间的字段,not_checked
